Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Худяк,Ірина,Давидович,Жінка,1955.06.19,Гицель,село Кілія,"сквер Луганська, буд. 295 кв. 68, Красногорівка, 94720",+380 75 192-25-33,demian58@example.org
Фаренюк,Анастасія,Гаврилівна,Жінка,1964.02.26,Візажист,село Фастів,"узвіз Зоопаркова, буд. 321 кв. 649, Дніпро , 15556",318 61 08,havryliukles@example.org
Мазур,Пріска,Юріївна,Жінка,1998.08.25,Живописець,хутір Новояворівськ,"вулиця Катерининська, буд. 0 кв. 34, Тараща, 61226",+380 80 992 79 97,spas41@example.org
Хмара,Феофан,Миронівна,Чоловік,1986.07.04,Астрофізик,селище Первомайськ,"узвіз Супутників, буд. 5 кв. 744, Золотоноша, 86299",+380 (03) 360-09-84,velychkoada@example.net
Забашта,Роман,Лідійовна,Чоловік,2000.01.21,Дантист,село Українськ,"парк Рибальська, буд. 8, Яворів, 92359",901-60-55,savdieienko@example.net
Талан,Володимир,Іракліївна,Чоловік,1986.07.08,Стиліст,село Ясинувата,"сквер Академіка Вільямса, буд. 259, Городня, 54373",675-80-51,lokhrimenko@example.net
Давиденко,Іван,Іоаннівна,Чоловік,1982.02.09,Випробувач,хутір Золотоноша,"сквер Лідерсівський, буд. 743, Червоноград, 31456",+380 89 072-93-62,marusiasvyrydenko@example.org
Щербань,Святослав,Іракліївна,Чоловік,1979.12.07,Льотчик,хутір Кременець,"площа Нова, буд. 53, Фастів, 41101",+380 (18) 106-45-82,rzinchenko@example.org
Бабак,Андрій,Іоаннівна,Чоловік,1954.10.28,Правник,хутір Ірпінь,"сквер Магнітогорська, буд. 52 кв. 7, Новомосковськ, 65660",+380 53 425 14 28,lukashmarko@example.net
Козак,Одарка,Несторович,Жінка,1992.06.06,Паралегал,хутір Кам'янка (Черкаська область),"проспект Першотравневий 2-й, буд. 59, Болехів, 96099",+380 47 879 59 73,edyta86@example.com
Теліженко,Ольга,Михайлович,Жінка,1990.06.22,Астроном,хутір Люботин,"проспект Івана Вазова, буд. 4 кв. 752, Камінь-Каширський, 86972",623 34 41,gdotsenko@example.com
Скоробогатько,Мілена,Корнеліївна,Жінка,1966.11.25,Скульптор,селище Старий Крим,"проспект Басейний 1-й, буд. 1, Кремінна, 95965",045 171-48-60,pnestaiko@example.com
Носаченко,Амалія,Тимофіївна,Жінка,1985.05.22,Дипломат,селище Лубни,"провулок Баркасний, буд. 151 кв. 55, Приморськ (Україна), 83071",+380 (22) 449-96-20,vlasenkooleksandr@example.net
Базавлученко,Болеслав,Савеліївна,Чоловік,2001.01.15,Громадський діяч,хутір Арциз,"провулок Кипарисний 2-й, буд. 9, Теплодар, 01434",964-88-26,gchumak@example.net
Проценко,Яків,Марківна,Чоловік,2006.01.11,М'ясник,хутір Енергодар,"узвіз Хвойний, буд. 51, Джанкой, 26890",+380 96 655-96-62,wzinchenko@example.org
Токар,Богдан,Назаріївна,Чоловік,2007.01.02,Агроном,село Ржищів,"парк Грузинська, буд. 1 кв. 935, Чистякове, 78101",026 711 31 47,nataliia25@example.net
Колодуб,Єлисей,Юхиміанівна,Чоловік,1963.04.07,Євнух,село Лохвиця,"провулок Ананьївська, буд. 538 кв. 5, Костянтинівка, 33538",+380 (23) 082-54-25,turkalotrokhym@example.net
Слюсар,Борис,Юстиніанівна,Чоловік,1995.08.23,Правник,селище Зміїв,"шосе Наявний 4-й, буд. 2 кв. 2, Ізяслав, 44604",+380 61 236 98 22,kostiantynpavlychenko@example.com
Зубко,Борислав,Даніїлівна,Чоловік,2005.03.22,Археолог,місто Вільногірськ,"вулиця Восьмого березня 2-й, буд. 64, Перечин, 99885",+380 (71) 126-23-93,telizhenkoviktoriia@example.org
Заєць,Камілла,Мірілівна,Жінка,1974.11.17,Стоматолог,селище Стебник,"проспект Вчительської, 2-й, буд. 594, Генічеськ, 48528",+380 42 380 84 61,romanishchak@example.org
Ісаєвич,Орина,Гаврилівна,Жінка,1975.01.21,Хореограф,хутір Новий Буг,"сквер Марата, буд. 36 кв. 179, Чортків, 61565",+380 13 044-28-27,albertbhydenko@example.com
Килимник,Оксенія,Трифонівна,Жінка,1958.03.23,Ді-джей,місто Харцизьк,"сквер Лиманчик 2-й Лінія 2-га, буд. 150 кв. 9, Луганськ, 31190",+380 (93) 122-50-80,zkolesnychenko@example.net
Авдєєнко,Камілла,Силуанівна,Жінка,1964.10.16,Випробувач,місто Самбір,"парк Танкістів, буд. 861, Золотоноша, 82612",+380 30 046 99 43,danylo93@example.com
Токар,Ростислав,Борисович,Чоловік,1957.07.25,Конструктор,хутір Остер ,"набережна Танкерна, буд. 5 кв. 36, Красноперекопськ, 42060",023 367 04 10,skyrdazlatoslava@example.org
Ковпак,Тарас,Анісіївна,Чоловік,1962.01.03,Педагог,село Ворожба,"набережна Картамишевський, буд. 3 кв. 465, Почаїв, 28540",+380 34 872 00 96,mykolai80@example.com
Микитюк,Андрій,Філімонівна,Чоловік,2005.01.28,Гінеколог,хутір Полонне,"набережна Карпатська, буд. 300, Карлівка, 71795",986-02-62,tsymbaliuknadiia@example.com
Фурс,Азар,Семіонівна,Чоловік,1992.04.21,Скульптор,місто Гуляйполе,"узвіз Проточний, буд. 67 кв. 82, Богодухів, 77043",004 871-44-85,solomon51@example.net
Якимчук,Гліб,Артемівна,Чоловік,1958.11.06,Золотар,селище Світловодськ,"проспект Василя Стуса, буд. 1 кв. 079, Армянськ, 63472",+380 31 431-93-78,khrystyna55@example.com
Канівець,Марко,Сергійович,Чоловік,1961.12.23,Конструктор,село Нововолинськ,"провулок Чорноморка, буд. 66, Червоноград, 95296",802 97 10,marko32@example.com
Джунь,Марʼяна,Семенівна,Жінка,1983.03.02,Інженер,селище Кролевець,"узвіз Старобазарний, буд. 484 кв. 780, Острог, 58452",141 24 50,semen61@example.com
Короленко,Еріка,Лаврентіївна,Жінка,1974.05.07,Інженер,хутір Дніпро ,"парк Гагаріна, буд. 42, Ладижин, 79865",068 38 26,tprykhodko@example.com
Перебийніс,Людмила,Герасимівна,Жінка,1985.01.07,Провізор,селище Камінь-Каширський,"узвіз Глазунова 2-й, буд. 8, Вознесенівка, 14807",+380 94 189-11-01,omelianruban@example.com
Іваненко,Аніта,Макарович,Жінка,1971.07.12,Мовознавець,селище Петрово-Красносілля,"набережна Офіцерський 2-й, буд. 19, Світловодськ, 74941",078 339 62 30,daryna69@example.net
Ющенко,Альберт,Корнеліївна,Чоловік,2000.05.25,Клавішник,село Теплодар,"провулок Таїрова, буд. 897, Кременчук, 16450",+380 (02) 902-79-63,emiliiadatsiuk@example.net
Чубай,Пантелеймон,Макарович,Чоловік,2007.05.12,Композитор,селище Ічня,"набережна Лиманчик 2-й Лінія 4-та, буд. 52, Сорокине, 88162",+380 90 213 63 18,myroslav14@example.com
Артимович,Зиновій,Олексійович,Чоловік,1984.12.06,Кіноактор,селище Кальміуське,"площа Державіна, буд. 9 кв. 167, Остер , 03380",102 15 56,zynovii07@example.org
Чаленко,Миколай,Сергійович,Чоловік,1968.04.20,Кінорежисер,хутір Надвірна,"набережна Весняна, буд. 85 кв. 068, Вільногірськ, 85588",028 243-98-48,nadiiahavrylets@example.net
Левченко,Георгій,Анісіївна,Чоловік,1987.03.16,Державний службовець,село Жданівка,"сквер Проектний 5-й, буд. 93, Красногорівка, 13637",027 755-18-00,talankamilla@example.net
Дейнека,Віктор,Савеліївна,Чоловік,1978.08.11,Громадський діяч,село Борщів,"шосе Жасминна, буд. 251 кв. 381, Балта, 35501",035 684 57 24,ielysavetaartymyshyn@example.org
Ґжицький,Сніжана,Костянтинівна,Жінка,1992.07.30,Електромонтер,село Мостиська,"шосе Десятого квітня, буд. 915 кв. 0, Барвінкове, 83327",+380 97 987-64-66,ihor43@example.net
Назаренко,Роксолана,Анісіївна,Жінка,1968.05.22,Лікар,місто Чортків,"провулок Іцхака Рабіна, буд. 8, Сквира, 71738",+380 (99) 528-74-38,myronteslia@example.net
Єресько,Одарка,Лаврентіївна,Жінка,1966.08.24,Паралегал,селище Броди,"шосе Панченка, буд. 2, Тетіїв, 14721",+380 66 875-92-46,arkhypenkoavhustyn@example.net
Батюк,Софія,Григоріївна,Жінка,1973.02.09,Бухгалтер,хутір Саки ,"вулиця Восьмого березня 1-й, буд. 28 кв. 52, Антрацит , 31903",+380 02 547-05-00,danchenkoavrelii@example.com
Зубко,Степан,Анікітівна,Чоловік,1958.12.03,Електротехнік,хутір Канів,"площа Рощева, буд. 7 кв. 065, Судак , 47032",+380 76 097 06 50,gshvachka@example.org
Чумаченко,Єлисей,Варфоломійович,Чоловік,1975.03.02,Провізор,хутір Балаклія,"набережна Асєєва Юрія, буд. 886, Харцизьк, 35660",+380 34 799 80 55,tivashchenko@example.com
Верменич,Єфрем,Несторович,Чоловік,1995.06.19,Електромонтер,хутір Гайворон,"набережна Авангардна, буд. 9, Рудки, 49154",072 143-06-63,telychenkohordii@example.net
Чередник,Георгій,Семіонівна,Чоловік,1991.12.21,Піаніст,місто Гірник ,"набережна Зернова, буд. 705, П'ятихатки, 18696",+380 (50) 966-55-85,pavlo53@example.net
Євтушок,Євген,Гаврилівна,Чоловік,1989.12.27,Футболіст,місто Глобине,"вулиця Пересипська 8-ма, буд. 717, Кременець, 28011",+380 30 168-84-21,liudmylastets@example.net
Рева,Владислав,Святославівна,Чоловік,1988.07.07,Письменник,селище Корсунь-Шевченківський,"сквер Артилерійський 2-й, буд. 995 кв. 69, Сновськ, 20029",+380 50 871-04-75,eibozhenkoerika@example.net
Калениченко,Емілія,Ростиславівна,Жінка,1999.05.20,Перекладач,хутір Одеса,"шосе Чапаєва, буд. 260 кв. 8, Енергодар, 07078",697-76-91,kmykhailiuk@example.org
Царенко,Валентина,Євгенович,Жінка,2000.05.03,Бібліотекар,хутір Ужгород,"провулок Степова, буд. 6, Ворожба, 68827",035-68-50,virarubets@example.net
Єщенко,Ірена,Амвросіївна,Жінка,1993.12.07,Ювелір,хутір Іловайськ,"набережна Водопровідний 2-й, буд. 09 кв. 5, Переяслав, 60502",+380 72 797-40-26,habelkosolomon@example.net
Їжак,Орися,Глібівна,Жінка,1974.05.09,Ді-джей,селище Угнів,"провулок Травневий 5-й, буд. 21 кв. 934, Алчевськ, 67717",051 760-24-10,liza90@example.net
Власенко,Герман,Юрійович,Чоловік,1969.05.17,Паблік рилейшнз,село Марганець ,"сквер Херсонський сквер, буд. 76 кв. 100, Дергачі, 30113",081 734-12-57,iustymshablii@example.org
Гаєвський,Максим,Мелентіївна,Чоловік,2001.11.17,Зоолог,селище Макіївка,"парк Тюльпанний, буд. 192, Лубни, 58241",262 59 28,omelian17@example.org
Таран,Симон,Маркелівна,Чоловік,1953.12.29,Пекар,селище Каховка,"провулок Лінія 45-та, буд. 7 кв. 53, Броди, 81035",+380 19 344-30-92,snizhana57@example.net
Жадан,Гаврило,Силуанівна,Чоловік,1988.08.17,Науковець,селище Городок,"шосе Маріїнська, буд. 8 кв. 183, Сміла, 90198",015 131-73-11,qriabovil@example.net
Колесниченко,Аврелій,Григоріївич,Чоловік,1991.11.21,Професор,хутір Новояворівськ,"узвіз Лузанівський 1-й, буд. 31, Липовець, 82933",675-14-57,azhazhafeofan@example.net
Примаченко,Теодор,Анікітівна,Чоловік,1975.12.14,Архітектор,селище Володимир-Волинський,"парк Кругова, буд. 03, Заліщики, 83467",853-00-57,zhuchenkoliliia@example.com
Палій,Орися,Андронікович,Жінка,1983.06.26,Секретар,місто Баштанка,"шосе Лядова, буд. 80 кв. 4, Яготин, 33127",590-14-47,vhavrylenko@example.com
Каденюк,Ольга,Тимофіївна,Жінка,2004.04.29,Шериф,місто Липовець,"проспект Степана Олійника узвіз, буд. 75 кв. 4, Тульчин, 15911",528-87-58,orkhyparsenych@example.net
Ванченко,Світлана,Вітольдівна,Жінка,1993.08.10,Режисер,місто Костопіль,"шосе Рішельєвська, буд. 62, Шаргород, 86476",024 216 44 54,tsiutsiurazakhar@example.com
Чумак,Пріска,Савеліївна,Жінка,1991.09.15,Кіноактор,село Канів,"парк Проїзний 2-й, буд. 575 кв. 711, Радомишль, 65783",913-55-34,korobets@example.net
Пушкар,Богуслав,Єфремівна,Чоловік,1977.07.26,Маркетолог,місто Ржищів,"сквер Бучми, буд. 39, Городенка, 96616",+380 52 068 82 73,echaban@example.net
Бездітко,Ігор,Юхимівна,Чоловік,1985.07.26,Мірошник,хутір Новоукраїнка,"площа ПшеничнаРадищева, буд. 9 кв. 89, Сторожинець, 80521",498 16 50,leontii93@example.com
Василечко,Веніямин,Святославівна,Чоловік,1988.05.02,Випробувач,місто Галич,"вулиця Пассіонарії, буд. 43, Миронівка, 14353",058 017-75-90,vbabiuk@example.com
Корбут,Роман,Миронівна,Чоловік,1994.09.23,Актор,селище Сватове,"провулок Аеропортівський 6-й, буд. 141 кв. 59, Бахмач, 46588",049 89 01,mykhailynachernenko@example.com
Вдовиченко,Микита,Юхимівна,Чоловік,1955.05.28,Будник,селище Старий Крим,"площа Вапняний 2-й, буд. 35, Дебальцеве, 81315",062 426 71 31,hromanchuk@example.net
Єрошенко,Максим,Даніїлівна,Чоловік,1976.01.15,Астроном,селище Васильків,"узвіз Обільний 1-й, буд. 27 кв. 45, Єнакієве, 26568",+380 32 023 71 58,mishchenkomilena@example.org
Закусило,Ліза,Симонівна,Жінка,1953.08.21,Хімік,хутір Носівка,"сквер 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 379 кв. 1, Путивль, 14293",719 34 98,qzhuravel@example.org
Ільєнко,Аніта,Юстиніанівна,Жінка,1960.04.27,Фізик,місто Рені,"провулок Петрашевського, буд. 3, Звенигородка, 46876",+380 12 996-82-99,gpiatachenko@example.com
Вернигора,Юстина,Маркелівна,Жінка,1955.09.12,Музичний редактор,селище Бібрка,"площа Деревообробний 3-й, буд. 25 кв. 3, Суходільськ, 33124",067 184-20-34,bohuslavaivanychuk@example.net
Лаба,Володимира,Зосимівна,Жінка,1980.02.27,Електрик,село Белз,"сквер Мічманський 1-й, буд. 963 кв. 12, Пустомити, 23387",061 137 47 76,ybazylevskyi@example.org
Смик,Олекса,Володиславівна,Чоловік,1998.12.25,Музикознавець,місто Вижниця,"площа Онезька, буд. 972 кв. 34, Ватутіне, 85976",588-96-26,nadiiaaleksiichuk@example.org
Зінкевич,Климент,Зосимівна,Чоловік,1971.04.01,Сантехнік,місто Мукачево,"шосе Леваневського, буд. 26 кв. 09, Сокиряни, 99603",388 47 43,artiushenkoviktoriia@example.org
Усик,Борислав,Захарович,Чоловік,1990.04.10,Дерун,хутір Заліщики,"площа Бучми, буд. 4 кв. 6, Керч, 99153",227-65-41,miroshnychenkovioletta@example.org
Чаленко,Данило,Олексіївна,Чоловік,1983.09.17,Публіцист,місто Карлівка,"провулок Ф. Пішеніна, буд. 286 кв. 152, Коростишів, 60378",+380 (60) 147-27-79,vzasenko@example.com
Штепа,Ігнат,Мстиславович,Чоловік,1959.07.22,Шериф,село Дунаївці,"набережна Єлісаветинська, буд. 9 кв. 6, Хрестівка, 20533",+380 28 657-85-08,svitlanaivanenko@example.net
Лубенець,Ігнат,Валеріївна,Чоловік,1994.03.25,Мистецтвознавець,місто Бучач,"узвіз Грузовий, буд. 2 кв. 9, Керч, 07386",996 19 98,iaremanestaiko@example.com
Прокопович,Тетяна,Лаврентіївна,Жінка,1962.04.28,Диригент,селище Тульчин,"вулиця Пересипський 2-й, буд. 6 кв. 31, Берегове, 27033",705-32-94,olena53@example.net
Романенко,Марина,Всеславівна,Жінка,2002.04.17,Вчитель,селище Жданівка,"парк Хаджибейська дорога, буд. 11, Вижниця, 09948",538 82 52,bohdannatryhub@example.org
Стус,Володимира,Кирилівна,Жінка,1980.07.24,Льотчик,селище Благовіщенське,"шосе Катерининська, буд. 625, Косів, 17373",+380 80 896-65-22,ndanchuk@example.com
Вакуленко,Надія,Дорофіївна,Жінка,1964.06.18,Дизайнер,село Новомосковськ,"набережна Олександра Невського 1-й, буд. 677 кв. 2, Дубровиця, 08552",235 18 54,milenaprokopovych@example.com
Вдовенко,Хома,Андронікович,Чоловік,1969.03.17,Ді-джей,місто Антрацит ,"узвіз 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 717, Первомайськ, 99657",+380 (70) 791-29-53,bshtokalo@example.net
Єсипенко,Степан,Миронівна,Чоловік,2003.12.26,Няня,хутір П'ятихатки,"площа Тульська, буд. 47, Сніжне, 13510",078 848-08-94,ssvyrydenko@example.org
Батуринець,Валерій,Філаретівна,Чоловік,1995.09.09,Фотограф,хутір Ровеньки,"парк Бузковий 1-й, буд. 7 кв. 2, Нова Одеса, 16401",016 762-47-81,milena44@example.org
Вовк,Богуслав,Юстиніанівна,Чоловік,1995.01.04,Складальник,селище Хрустальний,"набережна Тимірязєва 3-й, буд. 79, Суходільськ, 58128",+380 48 818-47-83,tetiana73@example.com
Данчук,Охрім,Варфоломійович,Чоловік,1998.09.18,Електромонтажник,село Берегове,"набережна Альпіністів, буд. 2 кв. 5, Таврійськ, 55038",+380 (32) 472-91-58,edytaustenko@example.net
Стець,Миколай,Борисович,Чоловік,1966.10.02,Будник,хутір Миргород,"сквер Тираспольська, буд. 064, Вознесенськ, 52908",086 168 44 21,maksymzatula@example.com
Даценко,Святослава,Силуанівна,Жінка,1992.06.19,Агроном,село Рогатин,"провулок Каспійський, буд. 704, Здолбунів, 85217",+380 37 175-70-64,alevtyn27@example.net
Носенко,Тетяна,Лаврінівна,Жінка,1978.01.27,Мінералог,селище Лохвиця,"проспект Гагаріна, буд. 6, Чорноморськ, 49111",+380 66 314 02 41,irena61@example.org
Чайка,Анжела,Миронівна,Жінка,1954.10.21,Різноробочий,селище Щолкіне,"шосе Аеропортівська, буд. 8 кв. 690, П'ятихатки, 84785",036 414-49-45,martaorlyk@example.org
Єщенко,Юстина,Ростиславівна,Жінка,1971.03.20,Петрограф,селище Вознесенськ,"проспект Республіканська, буд. 0 кв. 1, Благовіщенське, 17630",+380 (42) 329-27-31,qsuprunenko@example.org
Радченко,Ярема,Мар’янович,Чоловік,2001.08.27,Льотчик,селище Чоп,"проспект Ямська, буд. 39, Прилуки, 66140",+380 67 929-45-52,erika92@example.com
Макогон,Андрій,Лаврінівна,Чоловік,1959.05.29,Бібліограф,селище Алупка,"шосе Новикова, буд. 2, Хмельницький, 97108",044 778 38 04,zabilaleonid@example.org
Павличенко,Теодор,Мстиславівна,Чоловік,1987.11.29,Літературознавець,хутір Белз,"набережна Нескучна, буд. 421, Єнакієве, 80555",037 404 83 26,tsushkooleksandr@example.com
Бевз,Гордій,Натанович,Чоловік,2000.12.28,Ветеринар,селище Новомосковськ,"сквер Далекосхідна, буд. 62, Жовті Води, 58997",909 51 47,kanivetsboryslav@example.com
Цимбал,Аврелій,Олексіївна,Чоловік,1959.08.13,Краєзнавець,селище Ватутіне,"шосе Листяна, буд. 60 кв. 19, Покровськ, 72116",691-02-34,albert37@example.com
Данчук,Ілля,Всеславівна,Чоловік,1987.11.11,Флорист,селище Новомосковськ,"проспект Пляжна, буд. 19, Любомль, 48178",+380 23 741 61 03,hohol-ianovskyipavlo@example.net
Данчук,Ярослава,Болеславівна,Жінка,1995.08.02,Історик,хутір Свалява,"шосе Заводська 1-ша, буд. 052, Почаїв, 31304",+380 80 789-47-09,zasenkoanastasiia@example.com
Овчаренко,Роксолана,Ісааківна,Жінка,1992.09.03,Гінеколог,село Виноградів,"сквер Пироговський, буд. 809 кв. 84, Покров, 62767",+380 (86) 742-65-49,sviatoslava42@example.net
Ярош,Оксана,Андриянівна,Жінка,2006.10.06,Гінеколог,село Новий Калинів,"провулок Мостовий, буд. 3 кв. 3, Шостка, 25845",004 107-69-30,prokhirzhadan@example.org
Цибуленко,Аліна,Семіонівна,Жінка,2006.01.16,Перекладач,місто Голубівка,"шосе 10-та Лінія 6-й ст. Люстдорфської дороги, буд. 99, Приморськ (Україна), 96687",+380 79 958 33 99,ieroshenkoalla@example.org
Гайдабура,Юстим,Агапіївна,Чоловік,1955.01.21,Бухгалтер,хутір Дружба ,"провулок Молокова, буд. 0 кв. 071, Вараш, 67917",+380 24 853-75-55,ihoriemets@example.org
Вітрук,Давид,Вікторівич,Чоловік,1998.01.30,Паблік рилейшнз,село Тростянець,"вулиця Мелітопольська, буд. 89, Новоукраїнка, 66468",+380 (87) 435-45-31,valentyna38@example.net
Давимука,Азар,Дорофіївна,Чоловік,1974.01.30,Реставратор,місто Хмільник,"парк Каштанова, буд. 771, Кіцмань, 10453",086 922-21-69,gtalan@example.org
Прокопович,Пармен,Мстиславівна,Чоловік,1997.04.01,Футболіст,селище Старий Самбір,"набережна Восьмого березня 6-й, буд. 150 кв. 289, Добромиль, 78339",+380 (06) 548-41-63,herman56@example.org
Власенко,Франц,Климентівна,Чоловік,1966.03.21,Живописець,хутір Подільськ,"проспект Чернишевського, буд. 657, Золотоноша, 08625",653 63 14,bohuslavandriienko@example.org
Дубина,Костянтин,Олексійович,Чоловік,1988.02.14,Єгер,хутір Яготин,"сквер Олександра Стурдзи, буд. 078, Стрий, 14070",000-64-33,shamraiamaliia@example.com
Рева,Ліза,Миронівна,Жінка,2005.12.03,Піаніст,хутір Чоп,"шосе Лиманчик 2-й Лінія 11-та, буд. 71 кв. 58, Пологи , 81353",+380 24 759 47 22,vasyl99@example.com
Мазепа,Емілія,Зосимівна,Жінка,1998.12.10,Хореограф,хутір Тернопіль,"площа Вапняний 1-й, буд. 2 кв. 5, Алупка, 04045",097-01-14,tbevzenko@example.com
Їжакевич,Еріка,Антігонівна,Жінка,1968.04.27,Журналіст,селище Лебедин,"сквер Собінова, буд. 091, Скалат, 49966",+380 88 831-95-99,feofan59@example.net
Оліфіренко,Богданна,Іларіонівна,Жінка,2005.06.01,Кінорежисер,хутір Кодима,"вулиця Санітарна, буд. 355, Камінь-Каширський, 14993",786 16 67,haidaboryslav@example.net
